name,code,lat,lng
Honiara International Airport,HIR,-9.428,160.054993
Port Moresby Jacksons International Airport,POM,-9.443380355834961,147.22000122070312
Keflavik International Airport,KEF,63.985001,-22.6056
Edmonton International Airport,YEG,53.3097,-113.580002
Halifax / Stanfield International Airport,YHZ,44.8807983398,-63.5085983276
Ottawa Macdonald-Cartier International Airport,YOW,45.322498,-75.669197
Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303
Montreal / Pierre Elliott Trudeau International Airport,YUL,45.467837,-73.742294
Vancouver International Airport,YVR,49.193901062,-123.183998108
Winnipeg / James Armstrong Richardson International Airport,YWG,49.909999847399995,-97.2398986816
Calgary International Airport,YYC,51.118822,-114.009933
St. John's International Airport,YYT,47.618599,-52.7519
Toronto Lester B. Pearson International Airport,YYZ,43.6772,-79.6306
Houari Boumediene Airport,ALG,36.693886,3.214531
Kotoka International Airport,ACC,5.605189800262451,-0.16678600013256073
Nnamdi Azikiwe International Airport,ABV,9.00679,7.26317
Murtala Muhammed International Airport,LOS,6.5773701667785645,3.321160078048706
Diori Hamani International Airport,NIM,13.4815,2.18361
Tunis Carthage International Airport,TUN,36.851002,10.2272
Brussels Airport,BRU,50.901402,4.48444
Berlin Brandenburg Airport,BER,52.362247,13.500672
Frankfurt Airport,FRA,50.030241,8.561096
Hamburg Helmut Schmidt Airport,HAM,53.630402,9.98823
Cologne Bonn Airport,CGN,50.865898,7.14274
Düsseldorf Airport,DUS,51.289501,6.76678
Munich Airport,MUC,48.353802,11.7861
Nuremberg Airport,NUE,49.498699,11.078056
Leipzig/Halle Airport,LEJ,51.420657,12.232705
Stuttgart Airport,STR,48.689899,9.22196
Hannover Airport,HAJ,52.461102,9.68508
Lennart Meri Tallinn Airport,TLL,59.413246,24.83264
Helsinki Vantaa Airport,HEL,60.318363,24.963341
Belfast International Airport,BFS,54.6575012207,-6.2158298492399995
Birmingham Airport,BHX,52.453899,-1.74803
Manchester Airport,MAN,53.349375,-2.279521
London Luton Airport,LTN,51.874699,-0.368333
London Gatwick Airport,LGW,51.148771,-0.192089
London Heathrow Airport,LHR,51.4706,-0.461941
Glasgow International Airport,GLA,55.871899,-4.43306
Edinburgh Airport,EDI,55.950145,-3.372288
London Stansted Airport,STN,51.884998,0.235
Amsterdam Airport Schiphol,AMS,52.308601,4.76389
Eindhoven Airport,EIN,51.4500999451,5.37452983856
Ezhou Huahu Airport,EHU,30.341178,115.03926
Dublin Airport,DUB,53.428713,-6.262121
Shannon Airport,SNN,52.702,-8.92482
Billund Airport,BLL,55.740335,9.157019
Copenhagen Kastrup Airport,CPH,55.617900848389,12.656000137329
Luxembourg-Findel International Airport,LUX,49.6233333,6.2044444
"Bergen Airport, Flesland",BGO,60.2934,5.21814
"Oslo Airport, Gardermoen",OSL,60.193901,11.1004
"Tromsø Airport, Langnes",TOS,69.683296,18.9189
"Trondheim Airport, Værnes",TRD,63.457802,10.924
"Stavanger Airport, Sola",SVG,58.876701,5.63778
Gdańsk Lech Wałęsa Airport,GDN,54.377602,18.4662
Kraków John Paul II International Airport,KRK,50.077702,19.7848
Warsaw Chopin Airport,WAW,52.165699,20.9671
Göteborg Landvetter Airport,GOT,57.6628,12.2798
Stockholm-Arlanda Airport,ARN,59.64849,17.928829
Riga International Airport,RIX,56.923599,23.9711
Vilnius International Airport,VNO,54.634102,25.285801
Cape Town International Airport,CPT,-33.9648017883,18.6016998291
King Shaka International Airport,DUR,-29.6144444444,31.1197222222
O.R. Tambo International Airport,JNB,-26.1392,28.246
Sir Seretse Khama International Airport,GBE,-24.555201,25.9182
King Mswati III International Airport,SHO,-26.358611,31.716944
Sir Seewoosagur Ramgoolam International Airport,MRU,-20.430201,57.683601
Kenneth Kaunda International Airport,LUN,-15.330833,28.452722
Roland Garros Airport,RUN,-20.890087,55.518894
Ivato Airport,TNR,-18.7969,47.478802
Quatro de Fevereiro International Airport,LAD,-8.85837,13.2312
São Tomé International Airport,TMS,0.378175,6.71215
Maputo Airport,MPM,-25.920799,32.572601
Seychelles International Airport,SEZ,-4.67434,55.521801
N'Djamena International Airport,NDJ,12.1337,15.034
Robert Gabriel Mugabe International Airport,HRE,-17.931801,31.0928
Hosea Kutako International Airport,WDH,-22.4799,17.4709
Ndjili International Airport,FIH,-4.38575,15.4446
Modibo Keita International Airport,BKO,12.5335,-7.94994
Banjul International Airport,BJL,13.338,-16.652201
Fuerteventura Airport,FUE,28.4527,-13.8638
Gran Canaria Airport,LPA,27.9319,-15.3866
César Manrique-Lanzarote Airport,ACE,28.945499,-13.6052
Tenerife Sur Airport,TFS,28.0445,-16.5725
Lungi International Airport,FNA,8.61644,-13.1955
Roberts International Airport,ROB,6.23379,-10.3623
Mohammed V International Airport,CMN,33.3675,-7.58997
Blaise Diagne International Airport,DSS,14.67,-17.073333
Nouakchott–Oumtounsy International Airport,NKC,18.31,-15.969722
Amílcar Cabral International Airport,SID,16.7414,-22.9494
Nelson Mandela International Airport,RAI,14.941126,-23.484728
Addis Ababa Bole International Airport,ADD,8.97789,38.799301
Djibouti-Ambouli Airport,JIB,11.5473,43.1595
Cairo International Airport,CAI,30.111534,31.396694
Hurghada International Airport,HRG,27.176776,33.796692
Suhaj Mubarak International Airport,HMB,26.342515,31.743017
Sharm El Sheikh International Airport,SSH,27.977272,34.394717
Juba International Airport,JUB,4.87201,31.601101
Jomo Kenyatta International Airport,NBO,-1.31923997402,36.9277992249
Moi International Airport,MBA,-4.03483,39.5942
Mitiga International Airport,MJI,32.89177,13.287878
Kigali International Airport,KGL,-1.96863,30.1395
Khartoum International Airport,KRT,15.5895,32.5532
Julius Nyerere International Airport,DAR,-6.87811,39.202599
Abeid Amani Karume International Airport,ZNZ,-6.22202,39.224899
Entebbe International Airport,EBB,0.042386,32.443501
Dhoho International Airport,DHX,-7.750278,111.947222
Navi Mumbai International Airport,NMI,18.988686,73.068523
Manohar International Airport,GOX,15.744257,73.860625
Albuquerque International Sunport,ABQ,35.039976,-106.608925
Joint Base Andrews,ADW,38.810799,-76.866997
Hartsfield Jackson Atlanta International Airport,ATL,33.6367,-84.428101
Austin Bergstrom International Airport,AUS,30.197535,-97.662015
Bradley International Airport,BDL,41.93851,-72.688066
Nashville International Airport,BNA,36.1245,-86.6782
Logan International Airport,BOS,42.36197,-71.0079
Buffalo Niagara International Airport,BUF,42.940498,-78.732201
Baltimore/Washington International Thurgood Marshall Airport,BWI,39.1754,-76.668297
Cleveland Hopkins International Airport,CLE,41.411701,-81.8498
Charlotte Douglas International Airport,CLT,35.2140007019043,-80.94309997558594
Camarillo International Airport,,34.213699,-119.094002
John Glenn Columbus International Airport,CMH,39.998001,-82.891899
Cincinnati Northern Kentucky International Airport,CVG,39.048801,-84.667801
Ronald Reagan Washington National Airport,DCA,38.8521,-77.037697
Denver International Airport,DEN,39.861698150635,-104.672996521
Dallas Fort Worth International Airport,DFW,32.896801,-97.038002
Detroit Metropolitan Wayne County Airport,DTW,42.21377,-83.353786
Newark Liberty International Airport,EWR,40.692501,-74.168701
Fort Lauderdale Hollywood International Airport,FLL,26.072599,-80.152702
Washington Dulles International Airport,IAD,38.9445,-77.455803
George Bush Intercontinental Houston Airport,IAH,29.984399795532227,-95.34140014648438
